time_iso8601,forks_cumulative
2013-01-23 00:00:00+00:00,1
2013-02-22 00:00:00+00:00,2
2013-04-10 00:00:00+00:00,3
2013-04-25 00:00:00+00:00,4
2013-05-13 00:00:00+00:00,5
2013-06-19 00:00:00+00:00,6
2013-07-04 00:00:00+00:00,7
2013-09-19 00:00:00+00:00,8
2013-10-08 00:00:00+00:00,9
2013-11-01 00:00:00+00:00,10
2013-11-06 00:00:00+00:00,11
2013-11-26 00:00:00+00:00,13
2013-12-11 00:00:00+00:00,14
2014-01-31 00:00:00+00:00,15
2014-04-25 00:00:00+00:00,16
2014-04-29 00:00:00+00:00,17
2014-05-22 00:00:00+00:00,18
2014-07-09 00:00:00+00:00,19
2014-07-30 00:00:00+00:00,21
2014-08-29 00:00:00+00:00,22
2014-11-14 00:00:00+00:00,23
2014-12-09 00:00:00+00:00,24
2015-01-15 00:00:00+00:00,25
2015-01-16 00:00:00+00:00,26
2015-01-20 00:00:00+00:00,27
2015-02-01 00:00:00+00:00,28
2015-02-12 00:00:00+00:00,29
2015-03-09 00:00:00+00:00,30
2015-03-25 00:00:00+00:00,31
2015-04-14 00:00:00+00:00,32
2015-04-26 00:00:00+00:00,34
2015-05-13 00:00:00+00:00,35
2015-06-02 00:00:00+00:00,36
2015-06-09 00:00:00+00:00,37
2015-06-23 00:00:00+00:00,39
2015-07-11 00:00:00+00:00,40
2015-07-16 00:00:00+00:00,41
2015-07-22 00:00:00+00:00,42
2015-07-31 00:00:00+00:00,43
2015-08-18 00:00:00+00:00,44
2015-09-21 00:00:00+00:00,45
2015-10-06 00:00:00+00:00,46
2015-10-13 00:00:00+00:00,47
2015-11-02 00:00:00+00:00,48
2015-11-26 00:00:00+00:00,49
2015-12-22 00:00:00+00:00,50
2016-01-27 00:00:00+00:00,51
2016-03-07 00:00:00+00:00,52
2016-04-11 00:00:00+00:00,53
2016-04-27 00:00:00+00:00,54
2016-04-29 00:00:00+00:00,55
2016-04-30 00:00:00+00:00,56
2016-05-21 00:00:00+00:00,57
2016-05-30 00:00:00+00:00,58
2016-06-01 00:00:00+00:00,59
2016-06-08 00:00:00+00:00,60
2016-06-16 00:00:00+00:00,61
2016-07-06 00:00:00+00:00,62
2016-08-02 00:00:00+00:00,63
2016-08-09 00:00:00+00:00,64
2016-08-11 00:00:00+00:00,65
2016-08-14 00:00:00+00:00,66
2016-10-05 00:00:00+00:00,67
2016-10-11 00:00:00+00:00,68
2016-10-24 00:00:00+00:00,69
2016-11-23 00:00:00+00:00,70
2016-12-08 00:00:00+00:00,71
2016-12-09 00:00:00+00:00,72
2016-12-15 00:00:00+00:00,73
2016-12-29 00:00:00+00:00,74
2017-01-06 00:00:00+00:00,75
2017-01-12 00:00:00+00:00,76
2017-01-16 00:00:00+00:00,77
2017-01-17 00:00:00+00:00,78
2017-02-06 00:00:00+00:00,79
2017-02-16 00:00:00+00:00,80
2017-02-28 00:00:00+00:00,81
2017-03-16 00:00:00+00:00,82
2017-03-24 00:00:00+00:00,84
2017-04-17 00:00:00+00:00,85
2017-04-18 00:00:00+00:00,86
2017-05-03 00:00:00+00:00,87
2017-05-04 00:00:00+00:00,88
2017-05-08 00:00:00+00:00,89
2017-05-14 00:00:00+00:00,90
2017-05-23 00:00:00+00:00,91
2017-06-13 00:00:00+00:00,92
2017-06-18 00:00:00+00:00,93
2017-07-11 00:00:00+00:00,94
2017-07-20 00:00:00+00:00,95
2017-07-21 00:00:00+00:00,97
2017-08-03 00:00:00+00:00,98
2017-08-21 00:00:00+00:00,99
2017-09-13 00:00:00+00:00,100
2017-09-27 00:00:00+00:00,101
2017-10-03 00:00:00+00:00,102
2017-10-10 00:00:00+00:00,103
2017-10-11 00:00:00+00:00,104
2017-10-20 00:00:00+00:00,105
2017-10-24 00:00:00+00:00,106
2017-10-26 00:00:00+00:00,107
2017-10-30 00:00:00+00:00,108
2017-11-23 00:00:00+00:00,109
2017-12-19 00:00:00+00:00,111
2018-01-17 00:00:00+00:00,112
2018-01-23 00:00:00+00:00,113
2018-01-25 00:00:00+00:00,115
2018-01-26 00:00:00+00:00,116
2018-02-05 00:00:00+00:00,118
2018-02-10 00:00:00+00:00,119
2018-03-02 00:00:00+00:00,120
2018-03-07 00:00:00+00:00,121
2018-03-19 00:00:00+00:00,122
2018-03-23 00:00:00+00:00,123
2018-03-26 00:00:00+00:00,125
2018-03-27 00:00:00+00:00,126
2018-04-04 00:00:00+00:00,127
2018-04-12 00:00:00+00:00,128
2018-04-26 00:00:00+00:00,129
2018-04-30 00:00:00+00:00,130
2018-05-02 00:00:00+00:00,131
2018-05-03 00:00:00+00:00,133
2018-05-09 00:00:00+00:00,134
2018-05-14 00:00:00+00:00,135
2018-06-01 00:00:00+00:00,137
2018-06-10 00:00:00+00:00,138
2018-06-11 00:00:00+00:00,139
2018-06-12 00:00:00+00:00,140
2018-06-18 00:00:00+00:00,141
2018-06-22 00:00:00+00:00,142
2018-07-13 00:00:00+00:00,143
2018-07-20 00:00:00+00:00,144
2018-08-09 00:00:00+00:00,145
2018-08-10 00:00:00+00:00,146
2018-08-11 00:00:00+00:00,147
2018-09-10 00:00:00+00:00,148
2018-09-11 00:00:00+00:00,150
2018-09-13 00:00:00+00:00,151
2018-09-16 00:00:00+00:00,152
2018-09-19 00:00:00+00:00,153
2018-10-06 00:00:00+00:00,154
2018-10-10 00:00:00+00:00,155
2018-10-18 00:00:00+00:00,156
2018-10-26 00:00:00+00:00,157
2018-10-28 00:00:00+00:00,158
2018-11-01 00:00:00+00:00,159
2018-11-13 00:00:00+00:00,160
2018-11-19 00:00:00+00:00,161
2018-11-20 00:00:00+00:00,162
2018-11-21 00:00:00+00:00,164
2018-11-22 00:00:00+00:00,165
2018-11-23 00:00:00+00:00,166
2018-12-01 00:00:00+00:00,167
2018-12-06 00:00:00+00:00,168
2018-12-20 00:00:00+00:00,169
2019-01-08 00:00:00+00:00,170
2019-01-15 00:00:00+00:00,171
2019-01-28 00:00:00+00:00,172
2019-02-02 00:00:00+00:00,173
2019-02-05 00:00:00+00:00,174
2019-02-07 00:00:00+00:00,175
2019-02-13 00:00:00+00:00,176
2019-02-15 00:00:00+00:00,177
2019-02-19 00:00:00+00:00,179
2019-03-07 00:00:00+00:00,180
2019-03-10 00:00:00+00:00,181
2019-04-09 00:00:00+00:00,182
2019-04-12 00:00:00+00:00,183
2019-05-24 00:00:00+00:00,184
2019-05-27 00:00:00+00:00,185
2019-06-14 00:00:00+00:00,186
2019-06-25 00:00:00+00:00,187
2019-06-27 00:00:00+00:00,188
2019-07-02 00:00:00+00:00,189
2019-07-04 00:00:00+00:00,190
2019-07-10 00:00:00+00:00,192
2019-07-12 00:00:00+00:00,193
2019-07-19 00:00:00+00:00,194
2019-07-20 00:00:00+00:00,195
2019-07-25 00:00:00+00:00,196
2019-08-02 00:00:00+00:00,197
2019-08-21 00:00:00+00:00,198
2019-09-20 00:00:00+00:00,200
2019-09-24 00:00:00+00:00,201
2019-10-01 00:00:00+00:00,202
2019-10-06 00:00:00+00:00,203
2019-10-08 00:00:00+00:00,204
2019-10-09 00:00:00+00:00,205
2019-10-11 00:00:00+00:00,206
2019-10-22 00:00:00+00:00,207
2019-11-05 00:00:00+00:00,208
2019-11-18 00:00:00+00:00,209
2019-11-20 00:00:00+00:00,210
2019-11-21 00:00:00+00:00,211
2019-12-03 00:00:00+00:00,212
2019-12-09 00:00:00+00:00,213
2019-12-16 00:00:00+00:00,214
2019-12-18 00:00:00+00:00,215
2019-12-20 00:00:00+00:00,216
2019-12-30 00:00:00+00:00,217
2020-01-06 00:00:00+00:00,218
2020-01-08 00:00:00+00:00,219
2020-01-10 00:00:00+00:00,220
2020-01-23 00:00:00+00:00,221
2020-02-19 00:00:00+00:00,222
2020-02-21 00:00:00+00:00,223
2020-02-24 00:00:00+00:00,224
2020-02-27 00:00:00+00:00,225
2020-03-02 00:00:00+00:00,226
2020-03-08 00:00:00+00:00,227
2020-03-11 00:00:00+00:00,228
2020-03-26 00:00:00+00:00,229
2020-03-30 00:00:00+00:00,230
2020-04-11 00:00:00+00:00,231
2020-04-28 00:00:00+00:00,232
2020-05-11 00:00:00+00:00,233
2020-05-13 00:00:00+00:00,234
2020-05-18 00:00:00+00:00,235
2020-05-22 00:00:00+00:00,236
2020-05-28 00:00:00+00:00,238
2020-05-29 00:00:00+00:00,239
2020-06-02 00:00:00+00:00,240
2020-06-04 00:00:00+00:00,241
2020-06-27 00:00:00+00:00,242
2020-06-28 00:00:00+00:00,243
2020-07-02 00:00:00+00:00,244
2020-08-11 00:00:00+00:00,245
2020-08-23 00:00:00+00:00,246
2020-08-31 00:00:00+00:00,247
2020-09-11 00:00:00+00:00,249
2020-09-20 00:00:00+00:00,250
2020-09-25 00:00:00+00:00,251
2020-09-29 00:00:00+00:00,252
2020-10-05 00:00:00+00:00,253
2020-10-09 00:00:00+00:00,254
2020-10-19 00:00:00+00:00,256
2020-10-21 00:00:00+00:00,257
2020-11-30 00:00:00+00:00,258
2020-12-04 00:00:00+00:00,259
2020-12-05 00:00:00+00:00,260
2021-01-28 00:00:00+00:00,261
2021-02-03 00:00:00+00:00,262
2021-02-19 00:00:00+00:00,263
2021-02-24 00:00:00+00:00,264
2021-03-02 00:00:00+00:00,265
2021-04-07 00:00:00+00:00,266
2021-04-11 00:00:00+00:00,267
2021-04-14 00:00:00+00:00,268
2021-04-18 00:00:00+00:00,269
2021-04-20 00:00:00+00:00,271
2021-05-18 00:00:00+00:00,272
2021-05-25 00:00:00+00:00,273
2021-05-30 00:00:00+00:00,274
2021-05-31 00:00:00+00:00,275
2021-06-08 00:00:00+00:00,276
2021-06-20 00:00:00+00:00,277
2021-06-23 00:00:00+00:00,278
2021-06-24 00:00:00+00:00,279
2021-07-01 00:00:00+00:00,280
2021-07-02 00:00:00+00:00,281
2021-07-07 00:00:00+00:00,282
2021-07-15 00:00:00+00:00,283
2021-07-19 00:00:00+00:00,284
2021-07-24 00:00:00+00:00,285
2021-07-26 00:00:00+00:00,286
2021-08-23 00:00:00+00:00,287
2021-08-29 00:00:00+00:00,288
2021-09-07 00:00:00+00:00,289
2021-09-14 00:00:00+00:00,290
2021-09-15 00:00:00+00:00,291
2021-09-17 00:00:00+00:00,292
2021-09-28 00:00:00+00:00,293
2021-10-03 00:00:00+00:00,294
2021-10-19 00:00:00+00:00,295
2021-11-01 00:00:00+00:00,296
2021-11-22 00:00:00+00:00,297
2021-11-23 00:00:00+00:00,298
2021-11-25 00:00:00+00:00,299
2021-12-25 00:00:00+00:00,300
2022-01-04 00:00:00+00:00,301
2022-01-07 00:00:00+00:00,302
2022-01-28 00:00:00+00:00,303
2022-02-07 00:00:00+00:00,304
2022-02-13 00:00:00+00:00,305
2022-02-16 00:00:00+00:00,306
2022-02-25 00:00:00+00:00,307
2022-03-06 00:00:00+00:00,308
2022-03-18 00:00:00+00:00,309
2022-03-20 00:00:00+00:00,310
2022-03-21 00:00:00+00:00,311
2022-04-05 00:00:00+00:00,312
2022-04-15 00:00:00+00:00,313
2022-05-03 00:00:00+00:00,314
2022-05-13 00:00:00+00:00,317
2022-06-21 00:00:00+00:00,318
2022-06-22 00:00:00+00:00,319
2022-07-15 00:00:00+00:00,320
2022-07-20 00:00:00+00:00,322
2022-07-26 00:00:00+00:00,323
2022-07-29 00:00:00+00:00,324
2022-08-05 00:00:00+00:00,325
2022-08-06 00:00:00+00:00,326
2022-08-18 00:00:00+00:00,327
2022-08-31 00:00:00+00:00,328
2022-09-07 00:00:00+00:00,329
2022-09-26 00:00:00+00:00,330
2022-10-03 00:00:00+00:00,331
2022-10-05 00:00:00+00:00,332
2022-10-21 00:00:00+00:00,333
2022-10-26 00:00:00+00:00,334
2022-12-22 00:00:00+00:00,335
2023-01-07 00:00:00+00:00,336
2023-01-09 00:00:00+00:00,337
2023-01-11 00:00:00+00:00,338
2023-01-16 00:00:00+00:00,339
2023-02-03 00:00:00+00:00,340
2023-02-05 00:00:00+00:00,341
2023-03-01 00:00:00+00:00,342
2023-03-08 00:00:00+00:00,343
2023-03-10 00:00:00+00:00,344
2023-04-28 00:00:00+00:00,345
2023-05-05 00:00:00+00:00,346
2023-05-08 00:00:00+00:00,347
2023-05-11 00:00:00+00:00,348
2023-07-12 00:00:00+00:00,349
2023-08-15 00:00:00+00:00,350
2023-08-23 00:00:00+00:00,351
2023-08-29 00:00:00+00:00,352
2023-09-14 00:00:00+00:00,353
2023-09-19 00:00:00+00:00,354
2023-10-11 00:00:00+00:00,355
2023-12-22 00:00:00+00:00,356
2023-12-24 00:00:00+00:00,357
2024-01-04 00:00:00+00:00,358
2024-01-11 00:00:00+00:00,359
2024-02-29 00:00:00+00:00,360
2024-03-11 00:00:00+00:00,361
2024-03-21 00:00:00+00:00,362
2024-04-11 00:00:00+00:00,363
2024-05-09 00:00:00+00:00,364
2024-05-11 00:00:00+00:00,365
2024-05-16 00:00:00+00:00,366
2024-06-17 00:00:00+00:00,367
2024-07-01 00:00:00+00:00,368
2024-07-22 00:00:00+00:00,369
